userid,followers,friends,statuses,favourites,activity,influence,protected,verified,category
507682167,214960,109,13548,861,97.2731,112.824,0,0,Religion
509841266,5766,5270,34202,742,72.6627,54.771,0,0,Religion
51016562,3215,1035,69715,81,75.8197,61.8264,0,0,Religion
512452264,551,319,532,134,58.1273,55.2151,0,0,Religion
513662346,1347,2865,4354,14,61.6645,53.8325,0,0,Religion
514542342,149951,150,12951,3703,96.5087,90.1751,0,1,Religion
51486676,23870,2366,15157,868,84.7471,78.3107,0,0,Religion
51517262,70823,99,11093,21561,92.824,89.2864,0,0,Religion
51597429,1146,2009,1739,1296,67.9773,68.1694,0,0,Religion
51639451,569,1676,7101,2089,68.3065,58.3871,0,0,Religion
517397047,667,2342,7071,181,68.7449,61.9384,0,0,Religion
517865113,5144,387,10709,10383,79.0024,86.2226,0,0,Religion
518879836,967,449,4870,269,70.9835,72.1647,0,0,Religion
519654092,1061,945,1659,401,66.4388,62.5913,0,0,Religion
51988933,86856,48947,44659,10664,92.3159,67.4586,0,0,Religion
522451281,10816,589,11355,665,82.548,77.9404,0,0,Religion
52497227,4428,967,11476,1086,78.7154,74.0201,0,0,Religion
525174200,2379,148,2534,2,73.4125,73.9682,0,0,Religion
525584018,10700,6798,9350,11964,83.113,82.481,0,0,Religion
525963529,1692,2182,1817,239,71.264,62.2688,0,0,Religion
52660746,412495,5294,24999,745,101.646,98.472,0,1,Religion
52695970,50180,1519,32885,3974,78.3409,41.2498,0,0,Religion
527292393,26803,12152,2436,17,81.8896,66.0982,0,0,Religion
52800906,60870,570,104470,21185,90.7458,85.7007,0,1,Religion
52944036,936,457,1096,4175,65.0102,59.9877,0,0,Religion
53079556,1207218,0,58259,1,94.2589,86.5604,0,0,Religion
531135163,1997,3224,37905,9,62.2207,40.8358,0,0,Religion
531241275,2146,3457,42412,6,63.9628,42.5177,0,0,Religion
53341199,656,1175,16832,5614,69.4141,63.472,0,0,Religion
535570386,1207,273,3981,285,68.2243,60.3931,0,0,Religion
53695456,2526,2487,6055,1199,75.8269,69.069,0,0,Religion
53917728,5679,745,23048,1269,79.4013,71.3591,0,0,Religion
539992193,1738,1274,9330,1455,69.799,61.2594,0,0,Religion
54277123,107384,12,1514,2819,88.583,94.8013,0,1,Religion
544569728,96630,43149,7088,10791,93.6899,93.4715,0,0,Religion
54547816,1623,569,7705,3189,73.8343,70.5776,0,0,Religion
547010933,2573,653,22769,208,70.268,73.9067,0,0,Religion
548990176,3318,2757,25514,1324,74.9069,61.8383,0,0,Religion
54901444,64305,35,6034,207,88.8423,89.3824,0,1,Religion
550214722,4437,9,666,1,61.4982,47.923,0,0,Religion
550259026,2174,16,726,3,63.1148,44.3934,0,0,Religion
550388942,51537,321,6525,778,91.0088,77.0338,0,0,Religion
551370676,766,852,4483,1267,67.0599,49.9412,0,0,Religion
55156489,137467,8,1797,364,89.6633,80.5783,0,0,Religion
55210632,1123,1688,1022,3,61.4156,41.6403,0,0,Religion
552978166,12095,5836,10382,107,76.2165,55.0574,0,0,Religion
553323967,1105,882,4837,2010,70.2808,61.905,0,0,Religion
554147941,3948,3620,4177,837,75.8064,59.0244,0,0,Religion
555324238,33127,27781,2958,6764,87.9958,90.1136,0,0,Religion
55545307,20580,1081,18142,28,85.1657,79.8702,0,0,Religion
55553500,2420,2298,2774,3549,74.4451,64.1403,0,0,Religion
55637356,83507,14,2190,170,79.7398,66.4714,0,0,Religion
55638250,15492,5533,8608,26,85.2422,87.2731,0,0,Religion
556509916,1922,1718,889,393,68.165,66.2152,0,0,Religion
557090495,1467,3751,1382,10,64.4579,51.2117,0,0,Religion
55712033,259182,314,8013,53,97.2973,105.352,0,1,Religion
557590916,501,1987,2418,881,63.0268,48.6329,0,0,Religion
5577902,1983915,5517,4027,4554,105.202,111.462,0,1,Religion
56047798,12046,925,27509,403,83.3286,77.628,0,0,Religion
561247523,2621,3738,10661,8980,75.0431,74.2989,0,0,Religion
562399917,37492,24,663,21,81.5127,77.2238,0,0,Religion
562881475,2410,4996,5665,11,63.1806,36.4,0,0,Religion
56318614,24922,872,11525,430,78.9884,61.6996,0,0,Religion
56350612,4523,199,5177,785,72.489,59.5163,0,0,Religion
56561171,616,1146,1980,4545,65.9756,54.792,0,0,Religion
565835706,6244,6831,120147,19396,79.6085,85.3186,0,0,Religion
56593724,1735678,1,11102,0,98.8217,96.1325,0,0,Religion
56609466,611,1964,22271,4922,60.9146,45.7544,0,0,Religion
567147156,710,1906,700,10,60.7467,45.4223,0,0,Religion
57074357,33899,1017,4235,963,88.8056,86.6287,0,1,Religion
572545082,506,794,2937,130,67.3116,59.6718,0,0,Religion
572888085,14214,47,4241,74,80.9793,74.1544,0,0,Religion
57378184,553,1183,5023,171,64.948,62.5409,0,0,Religion
575338976,1445,1696,2273,1803,71.5431,62.0953,0,0,Religion
57548587,2786,1377,2267,1302,74.45,72.3633,0,0,Religion
576306217,606,167,1222,26,63.6787,49.8156,0,0,Religion
577403888,446255,335848,22078,7179,97.959,80.5365,0,1,Religion
578140856,740,1318,20318,1499,69.5418,63.0551,0,0,Religion
578725991,9583,9569,5737,43,78.5703,56.2918,0,0,Religion
582561556,25865,49,7502,4858,85.4683,82.5661,0,0,Religion
583531460,622,1872,1171,1931,60.3275,54.6616,0,0,Religion
586839278,533,531,2339,531,66.6865,59.6576,0,0,Religion
587353890,10158,519,41136,5869,82.4917,73.8829,0,0,Religion
588073719,441010,91,59871,1736,101.43,101.171,0,0,Religion
588560791,1755,1667,12940,1343,73.3184,68.2908,0,0,Religion
588983351,536498,38,58736,1779,102.637,103.551,0,0,Religion
590106750,3540,1730,6631,1032,77.6649,78.6565,0,1,Religion
590152667,50352,5046,4152,14623,86.8813,91.2199,0,1,Religion
59061346,1403,977,10720,1427,72.9997,65.8202,0,0,Religion
59166429,524,1113,2345,1978,66.5006,66.4922,0,0,Religion
594662463,1658,636,4325,74,73.5427,64.4182,0,0,Religion
595473415,109201,8103,27396,11981,90.5114,72.3087,0,1,Religion
595613469,3276,2138,2568,3474,73.5032,66.8777,0,0,Religion
596704112,1896,4762,4838,337,68.9478,64.9387,0,0,Religion
599591303,8671,8238,7033,254,80.3382,70.6439,0,0,Religion
59997683,782,906,6580,1417,70.2177,66.1688,0,0,Religion
600262647,1425,1889,25944,4234,72.5844,65.5316,0,0,Religion
600522945,730,592,15748,5230,69.2835,66.2203,0,0,Religion
600859006,3576,137,9119,9,77.8042,73.5309,0,0,Religion
601320686,503891,121,59735,1736,102.184,103.224,0,0,Religion
601872102,1343,11,2420,582,71.5378,62.5899,0,0,Religion
602614921,8928,77,92146,12069,47.5647,18.7187,0,0,Religion
60289989,1001,641,1189,19,57.9861,38.5631,0,0,Religion
603695703,2437,123,3281,625,75.4906,70.3146,0,0,Religion
60370151,744325,65,140286,0,91.8456,66.477,0,1,Religion
605149922,3472,693,72692,1166,72.4416,69.3088,0,0,Religion
609301920,1650,1315,1772,2639,69.9012,72.897,0,0,Religion
610868298,933,1013,3823,10,64.3941,57.6857,0,0,Religion
61126132,1405323,0,3839,0,100.789,103.949,0,1,Religion
6120192,531,522,11555,1369,68.0081,65.5565,0,0,Religion
613081818,9061,9818,64285,30084,82.4977,79.2619,0,0,Religion
614155131,504,999,550,143,58.56,50.4889,0,0,Religion
615983648,865527,296,551,13,90.0524,76.5887,0,1,Religion
