userid,friends,followers,statuses,favourites,gender,verified,city,urank,category
1268252377,617,3884310,926,1,-1,1,0,35,Singer
1268293683,0,6420649,969,1,1,1,0,31,Singer
1268356760,693,95261,2610,1,-1,1,0,26,Singer
1268411390,601,3294056,15832,1,1,1,0,42,Singer
1269914405,521,75441,2026,1,1,1,0,23,Singer
1271126443,259,98796,1135,1,1,1,0,28,Singer
1271211057,733,59893,3784,1,1,1,0,45,Singer
1271536891,69,12805,240,1,1,0,0,33,Singer
1272621567,94,806536,889,1,-1,1,0,25,Singer
1273465467,426,472146,2968,1,-1,1,0,43,Singer
1275171822,1435,116806,1318,1,1,1,0,38,Singer
1276109774,202,8925148,480,1,1,1,0,43,Singer
1276314124,274,4514077,1012,1,1,1,0,40,Singer
1276536273,163,1085501,751,1,-1,1,0,37,Singer
1278178992,568,1097844,5418,1,1,1,0,45,Singer
1281047653,616,1369522,2059,1,-1,1,0,39,Singer
1283498527,215,142550,2010,1,-1,1,0,34,Singer
1283502072,1785,85928,10208,1,1,1,0,33,Singer
1283698987,743,87165,10197,1,-1,1,0,39,Singer
1286210650,189,165112,1167,1,1,1,0,27,Singer
1286562485,350,1621527,2733,1,-1,1,0,36,Singer
1287641062,260,512939,1328,1,-1,1,0,33,Singer
1287843772,583,1781670,244,1,1,1,0,42,Singer
1288604907,556,1841435,258,1,1,1,0,39,Singer
1289012440,485,1517021,1586,1,1,1,0,43,Singer
1289338185,949,1342448,5683,1,-1,1,0,36,Singer
1289497997,669,46462,1783,1,-1,1,0,30,Singer
1289988734,193,243056,3238,1,-1,1,0,34,Singer
1292815744,549,1592408,689,1,1,1,0,35,Singer
1293404803,350,105873,1620,1,-1,1,0,24,Singer
1296234914,349,9670673,1209,1,1,1,0,38,Singer
1296348605,366,230404,1281,1,1,1,0,35,Singer
1300367447,253,1158563,2810,1,-1,1,0,33,Singer
1301429282,562,118691,2969,1,1,1,0,25,Singer
1304204200,324,284413,1954,1,-1,1,0,30,Singer
1308587121,685,85722,1190,1,1,1,0,22,Singer
1310316742,494,58195,469,1,-1,1,0,35,Singer
1310598823,46,267210,54,1,1,1,0,14,Singer
1310949715,438,354592,1748,1,-1,1,0,42,Singer
1311751174,701,3563452,2433,1,1,1,0,33,Singer
1313596954,48,454868,3597,1,-1,1,0,43,Singer
1314304727,246,265128,328,1,1,1,0,33,Singer
1316224750,625,4935376,7533,1,-1,1,0,46,Singer
1320216427,280,744908,4566,1,-1,1,0,46,Singer
1321157361,169,165674,1572,1,1,1,0,23,Singer
1321460227,36,296357,342,1,-1,1,0,32,Singer
1322780600,317,211161,3398,1,-1,1,0,44,Singer
1338587345,652,483462,381,1,-1,1,0,16,Singer
