userid,friends,followers,statuses,favourites,gender,verified,city,urank,category
1266788915,178,792846,479,1,-1,1,1,29,Actor
1267005507,644,2192982,1446,69,1,1,5,39,Actor
1270344441,263,18743707,1270,77,-1,1,1000,43,Actor
1270623893,448,10158348,164,2,1,1,1000,41,Actor
1274327470,193,9994263,1421,809,1,1,1000,42,Actor
1275784277,353,12888753,7914,42,-1,1,1,38,Actor
1277316722,233,1897301,2097,2,-1,1,5,39,Actor
1278193203,947,1724490,1489,64,1,1,1000,26,Actor
1280755092,55,846792,48,0,-1,1,1000,23,Actor
1281121664,484,294099,8134,395,-1,1,1000,30,Actor
1284664183,372,2849015,2391,4,1,1,1,38,Actor
1285785310,191,1043464,1028,1909,-1,1,1000,41,Actor
1285846970,307,7035816,1664,33,1,1,1000,42,Actor
1286151312,631,347698,1089,692,1,1,1000,32,Actor
1286819571,234,203647,491,36,-1,1,5,20,Actor
1287370021,374,198750,4041,401,1,1,15,36,Actor
1287604042,1042,1077155,6915,383,1,1,5,41,Actor
1288036110,375,5018397,2260,279,1,1,5,39,Actor
1288640027,270,15876683,834,241,1,1,5,42,Actor
1288739185,402,22624932,1219,413,-1,1,1000,41,Actor
1289600983,893,856636,995,1091,-1,1,1,46,Actor
1289997621,215,21715544,958,1,1,1,1,39,Actor
1290364693,212,1648516,1006,21,1,1,1,29,Actor
1290519354,380,1247737,1118,0,-1,1,1000,40,Actor
1291477752,166,41107231,2284,11,1,1,1000,42,Actor
1291843462,231,25596344,1814,26,1,1,1000,40,Actor
1292500037,360,5724081,2252,501,1,1,1000,40,Actor
1294053670,520,2470935,1896,19,1,1,7,33,Actor
1296175111,214,733325,1444,141,1,1,11,31,Actor
1296492733,609,5377220,2808,25,-1,1,1000,40,Actor
1296947890,1097,9068847,4511,326,1,1,1000,39,Actor
1297806553,390,1024034,1777,2295,1,1,5,32,Actor
1298062167,789,409436,3077,135,1,1,1000,40,Actor
1300419694,431,3032039,1653,884,-1,1,1000,38,Actor
1301552754,1590,924020,12010,3888,-1,1,4,45,Actor
1302778544,244,611042,856,3224,1,1,1000,31,Actor
1303124751,591,124058,1531,170,-1,1,2,32,Actor
1305694532,460,1054836,1366,6885,-1,1,1000,32,Actor
1306980720,433,2200888,3248,117,1,1,1000,40,Actor
1307243944,480,2336499,1256,834,-1,1,1000,41,Actor
1307418975,146,12105944,638,444,-1,1,1000,42,Actor
1307651590,325,18472643,1727,20,-1,1,1,40,Actor
1308133077,49,679418,24,0,-1,1,1,29,Actor
1308197681,438,594505,2554,1,-1,1,1000,26,Actor
1309302077,527,5257172,1434,142,-1,1,5,40,Actor
1311676167,207,3470624,386,352,-1,1,1000,35,Actor
1312412824,262,17932667,735,1,-1,1,1,37,Actor
1314059323,281,316642,1650,1,-1,1,1,29,Actor
1314663255,542,1069942,2037,33,-1,1,5,47,Actor
1315469422,541,7732614,3689,19,-1,1,1,34,Actor
1316949123,296,15196035,2251,92,-1,1,1000,42,Actor
1317718945,304,1656587,1274,2,-1,1,1000,33,Actor
1318119365,269,6490161,2258,199,-1,1,5,44,Actor
1320682073,282,329025,1233,13,-1,1,1000,29,Actor
1323061061,406,1170494,799,0,-1,1,1000,40,Actor
1337925752,691,20184316,5892,2,1,1,1000,45,Actor
1340406064,487,10955860,1745,3,1,1,1000,41,Actor
1340552632,315,16489308,2017,1370,-1,1,5,40,Actor
